n.evals.q.1.0.	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.max
1.140e+04	2.338e-01	1.413e-01	3.492e-01	4.109e-01	-5.632e-02	7.845e-01	4.090e-01	-6.831e-02	6.000e-01
1.150e+04	2.540e-01	1.255e-01	3.022e-01	4.849e-01	2.074e-01	7.691e-01	4.500e-01	-2.000e-01	6.000e-01
1.160e+04	1.808e-01	1.037e-01	2.754e-01	2.950e-01	1.071e-02	7.027e-01	4.090e-01	-3.974e-02	6.000e-01
1.170e+04	1.874e-01	9.623e-02	2.940e-01	5.779e-01	2.122e-01	8.679e-01	3.603e-01	-1.108e-01	6.000e-01
1.180e+04	1.954e-01	-1.268e-02	2.808e-01	6.242e-01	1.231e-01	7.915e-01	5.000e-01	3.712e-02	6.000e-01
1.190e+04	1.585e-01	7.021e-02	3.022e-01	3.342e-01	-1.462e-02	7.585e-01	5.000e-01	1.967e-02	6.500e-01
1.200e+04	1.584e-01	-1.092e-02	2.426e-01	6.269e-01	1.038e-01	7.859e-01	4.172e-01	-3.950e-02	6.000e-01
1.210e+04	2.283e-01	6.252e-02	2.940e-01	4.000e-01	1.393e-01	7.491e-01	4.090e-01	-2.000e-01	6.000e-01
1.220e+04	1.947e-01	4.194e-03	2.727e-01	4.545e-01	4.991e-02	8.277e-01	4.090e-01	1.812e-02	6.000e-01
1.230e+04	1.467e-01	-7.265e-02	2.428e-01	3.484e-01	3.595e-02	8.282e-01	4.052e-01	-1.234e-01	6.000e-01
1.240e+04	1.445e-01	7.427e-02	2.518e-01	4.480e-01	2.979e-02	9.331e-01	4.090e-01	-6.625e-03	6.000e-01
1.250e+04	1.332e-01	-7.980e-02	2.628e-01	6.153e-01	2.999e-01	8.305e-01	4.090e-01	-2.025e-01	6.000e-01
1.260e+04	1.515e-01	3.125e-02	2.946e-01	3.192e-01	5.959e-02	7.876e-01	4.090e-01	-2.000e-01	6.000e-01
1.270e+04	1.757e-01	2.711e-02	2.990e-01	4.000e-01	1.975e-01	8.558e-01	4.500e-01	-2.700e-02	6.000e-01
1.280e+04	1.141e-01	-4.509e-02	2.163e-01	6.302e-01	1.753e-01	8.220e-01	3.186e-01	-1.000e-01	6.000e-01
1.290e+04	2.048e-01	9.228e-02	2.617e-01	7.096e-01	9.092e-02	8.826e-01	3.209e-01	-2.000e-01	6.000e-01
1.300e+04	1.482e-01	3.591e-02	2.401e-01	6.743e-01	1.779e-01	9.116e-01	3.368e-01	-8.995e-02	6.000e-01
1.310e+04	1.872e-01	6.791e-02	2.398e-01	6.313e-01	-5.022e-02	8.248e-01	4.500e-01	-1.796e-02	6.000e-01
1.320e+04	2.225e-01	3.955e-02	3.000e-01	5.822e-01	2.633e-01	7.869e-01	4.090e-01	-1.267e-01	6.000e-01
1.330e+04	1.977e-01	1.426e-01	2.936e-01	4.000e-01	2.582e-02	9.014e-01	4.092e-01	-3.065e-02	6.000e-01
1.340e+04	2.211e-01	5.972e-02	2.919e-01	4.866e-01	2.012e-02	7.970e-01	4.090e-01	-4.980e-02	6.000e-01
1.350e+04	1.945e-01	2.429e-02	2.983e-01	6.234e-01	1.905e-01	8.348e-01	4.052e-01	-1.424e-01	6.000e-01
1.360e+04	1.496e-01	1.653e-02	2.214e-01	5.232e-01	7.575e-02	8.044e-01	4.527e-01	-2.000e-01	6.000e-01
1.370e+04	1.794e-01	3.703e-02	2.606e-01	5.419e-01	7.985e-02	8.231e-01	4.058e-01	-1.113e-01	6.000e-01
1.380e+04	1.835e-01	1.194e-01	2.651e-01	4.197e-01	4.473e-02	7.729e-01	4.396e-01	1.000e-01	6.000e-01
1.390e+04	1.954e-01	1.041e-01	2.922e-01	5.150e-01	1.247e-01	8.066e-01	5.000e-01	1.189e-01	6.000e-01
1.400e+04	1.972e-01	1.278e-01	2.522e-01	4.820e-01	1.153e-01	8.408e-01	3.983e-01	-2.000e-01	6.000e-01
1.410e+04	2.028e-01	1.238e-01	2.732e-01	3.000e-01	1.425e-01	6.747e-01	4.080e-01	-7.702e-02	6.000e-01
1.420e+04	1.778e-01	2.406e-02	2.918e-01	4.994e-01	-3.911e-02	7.612e-01	1.814e-01	-1.309e-01	6.000e-01
1.430e+04	1.583e-01	-3.625e-02	2.461e-01	6.218e-01	2.169e-01	8.255e-01	3.500e-01	-1.059e-01	6.000e-01
1.440e+04	1.779e-01	2.602e-02	2.792e-01	5.869e-01	5.363e-02	8.357e-01	3.500e-01	-9.205e-02	6.000e-01
1.450e+04	1.728e-01	-2.147e-02	2.916e-01	4.000e-01	-1.643e-02	8.538e-01	3.981e-01	-1.415e-01	6.000e-01
1.460e+04	1.816e-01	-8.548e-02	2.828e-01	4.016e-01	4.229e-02	8.837e-01	3.850e-01	-1.147e-02	6.000e-01
1.470e+04	1.688e-01	-6.427e-02	2.633e-01	5.142e-01	1.935e-01	7.605e-01	3.500e-01	-3.002e-01	5.925e-01
1.480e+04	1.594e-01	3.897e-02	2.483e-01	6.268e-01	1.186e-01	8.924e-01	3.500e-01	-1.129e-01	6.000e-01
