n.evals.q.1.0.	mopm._.me.hebbian.network.best.quality.increase	mopm._.me.hebbian.network.best.quality.increase.min	mopm._.me.hebbian.network.best.quality.increase.max	mopm._.me.hebbian.synapse.best.quality.increase	mopm._.me.hebbian.synapse.best.quality.increase.min	mopm._.me.hebbian.synapse.best.quality.increase.max	mopm._.me.freeForm.best.quality.increase	mopm._.me.freeForm.best.quality.increase.min	mopm._.me.freeForm.best.quality.increase.max
1.160e+04	9.853e-02	4.744e-02	2.403e-01	2.361e-01	1.932e-01	3.714e-01	2.002e-01	4.687e-02	3.912e-01
1.170e+04	9.853e-02	4.744e-02	2.403e-01	2.288e-01	1.757e-01	3.714e-01	2.002e-01	4.687e-02	4.020e-01
1.180e+04	9.853e-02	4.744e-02	2.403e-01	2.288e-01	1.757e-01	3.714e-01	2.002e-01	4.687e-02	4.020e-01
1.190e+04	9.853e-02	4.744e-02	2.479e-01	2.288e-01	1.757e-01	3.714e-01	2.002e-01	4.687e-02	4.020e-01
1.200e+04	9.853e-02	4.744e-02	2.479e-01	2.128e-01	1.755e-01	3.700e-01	2.002e-01	4.687e-02	3.912e-01
1.210e+04	9.853e-02	4.744e-02	2.403e-01	2.128e-01	1.755e-01	3.700e-01	2.002e-01	4.687e-02	3.848e-01
1.220e+04	9.853e-02	4.744e-02	2.403e-01	2.128e-01	1.755e-01	3.700e-01	2.002e-01	4.687e-02	3.848e-01
1.230e+04	9.853e-02	4.744e-02	2.403e-01	2.128e-01	1.755e-01	3.700e-01	2.002e-01	4.687e-02	3.848e-01
1.240e+04	9.853e-02	4.744e-02	2.403e-01	2.128e-01	1.755e-01	3.544e-01	2.002e-01	4.687e-02	3.848e-01
1.250e+04	9.853e-02	4.744e-02	2.403e-01	2.128e-01	1.755e-01	3.544e-01	2.002e-01	6.543e-02	3.593e-01
1.260e+04	9.293e-02	4.744e-02	2.042e-01	2.128e-01	1.755e-01	3.700e-01	1.725e-01	6.543e-02	3.593e-01
1.270e+04	9.293e-02	4.744e-02	2.042e-01	2.128e-01	1.755e-01	3.700e-01	1.725e-01	6.543e-02	3.593e-01
1.280e+04	9.293e-02	4.744e-02	2.042e-01	2.128e-01	1.755e-01	3.700e-01	1.725e-01	6.543e-02	3.593e-01
1.290e+04	9.293e-02	4.744e-02	2.042e-01	2.128e-01	1.755e-01	3.544e-01	1.725e-01	6.543e-02	3.246e-01
1.300e+04	9.293e-02	4.744e-02	2.042e-01	2.288e-01	1.755e-01	3.544e-01	1.725e-01	6.543e-02	3.246e-01
1.310e+04	9.293e-02	4.744e-02	2.042e-01	2.288e-01	1.755e-01	3.544e-01	2.002e-01	7.812e-02	3.593e-01
1.320e+04	9.293e-02	4.744e-02	2.042e-01	2.288e-01	1.755e-01	3.544e-01	2.002e-01	7.812e-02	3.593e-01
1.330e+04	9.293e-02	4.744e-02	2.042e-01	2.288e-01	1.755e-01	3.544e-01	2.381e-01	9.111e-02	3.246e-01
1.340e+04	9.293e-02	4.744e-02	2.042e-01	2.288e-01	1.755e-01	3.544e-01	1.725e-01	7.812e-02	2.965e-01
1.350e+04	9.853e-02	6.164e-02	2.403e-01	2.288e-01	1.755e-01	3.544e-01	1.725e-01	7.812e-02	2.965e-01
1.360e+04	9.293e-02	4.744e-02	2.042e-01	2.288e-01	1.755e-01	3.544e-01	1.725e-01	7.812e-02	2.965e-01
1.370e+04	9.293e-02	4.744e-02	2.042e-01	2.288e-01	1.755e-01	3.544e-01	1.725e-01	7.812e-02	2.665e-01
1.380e+04	9.293e-02	4.744e-02	2.042e-01	2.288e-01	1.755e-01	3.544e-01	1.725e-01	7.812e-02	2.665e-01
1.390e+04	8.942e-02	4.744e-02	2.042e-01	2.288e-01	1.755e-01	3.544e-01	1.725e-01	7.812e-02	2.665e-01
1.400e+04	8.942e-02	4.744e-02	2.042e-01	2.288e-01	1.755e-01	3.544e-01	1.725e-01	7.812e-02	2.665e-01
1.410e+04	8.942e-02	4.744e-02	2.042e-01	2.288e-01	1.755e-01	3.544e-01	1.725e-01	7.812e-02	2.665e-01
1.420e+04	8.942e-02	4.744e-02	2.042e-01	2.288e-01	1.755e-01	3.714e-01	1.725e-01	7.812e-02	2.665e-01
