n.evals.q.1.0.	xor._.hebbian.network.best.quality.consistency	xor._.hebbian.network.best.quality.consistency.min	xor._.hebbian.network.best.quality.consistency.max	xor._.hebbian.synapse.best.quality.consistency	xor._.hebbian.synapse.best.quality.consistency.min	xor._.hebbian.synapse.best.quality.consistency.max	xor._.freeForm.best.quality.consistency	xor._.freeForm.best.quality.consistency.min	xor._.freeForm.best.quality.consistency.max
1.300e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.733e-02	2.381e-04	3.090e-09	2.421e-01
1.310e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.733e-02	2.381e-04	3.090e-09	2.421e-01
1.320e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.733e-02	2.381e-04	3.090e-09	2.421e-01
1.330e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.626e-02	2.381e-04	3.090e-09	2.421e-01
1.340e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.626e-02	2.381e-04	3.090e-09	2.338e-01
1.350e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.626e-02	4.625e-04	3.090e-09	2.338e-01
1.360e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.626e-02	4.625e-04	3.090e-09	2.338e-01
1.370e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.626e-02	4.625e-04	3.090e-09	2.338e-01
1.380e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.626e-02	3.269e-03	8.362e-09	2.421e-01
1.390e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.626e-02	3.269e-03	8.362e-09	2.421e-01
1.400e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.626e-02	4.625e-04	8.362e-09	2.421e-01
1.410e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.626e-02	4.625e-04	8.362e-09	2.421e-01
1.420e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.626e-02	4.625e-04	8.362e-09	2.421e-01
1.430e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.626e-02	4.625e-04	8.362e-09	2.421e-01
1.440e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.626e-02	3.966e-03	8.362e-09	2.421e-01
1.450e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.626e-02	3.966e-03	8.362e-09	2.421e-01
