n.evals.q.1.0.	xor._.hebbian.network.best.quality.consistency	xor._.hebbian.network.best.quality.consistency.min	xor._.hebbian.network.best.quality.consistency.max	xor._.hebbian.synapse.best.quality.consistency	xor._.hebbian.synapse.best.quality.consistency.min	xor._.hebbian.synapse.best.quality.consistency.max	xor._.freeForm.best.quality.consistency	xor._.freeForm.best.quality.consistency.min	xor._.freeForm.best.quality.consistency.max
1.230e+04	1.492e-02	1.735e-03	1.908e-02	1.561e-02	1.223e-02	1.783e-02	1.588e-07	4.581e-12	2.086e-03
1.240e+04	1.492e-02	1.735e-03	1.908e-02	1.561e-02	1.223e-02	1.783e-02	1.588e-07	4.581e-12	2.086e-03
1.250e+04	1.492e-02	1.735e-03	1.908e-02	1.561e-02	1.223e-02	1.783e-02	1.588e-07	4.581e-12	2.086e-03
1.260e+04	1.492e-02	1.735e-03	1.908e-02	1.561e-02	1.223e-02	1.783e-02	1.588e-07	4.581e-12	1.828e-03
1.270e+04	1.492e-02	1.735e-03	1.934e-02	1.561e-02	1.223e-02	1.783e-02	1.588e-07	4.581e-12	1.828e-03
1.280e+04	1.492e-02	1.735e-03	1.934e-02	1.561e-02	1.223e-02	1.783e-02	1.588e-07	4.581e-12	1.828e-03
1.290e+04	1.520e-02	1.735e-03	1.940e-02	1.561e-02	1.223e-02	1.783e-02	1.588e-07	4.581e-12	1.828e-03
1.300e+04	1.520e-02	1.735e-03	1.940e-02	1.561e-02	1.223e-02	1.783e-02	1.588e-07	4.581e-12	1.828e-03
1.310e+04	1.520e-02	1.735e-03	1.940e-02	1.561e-02	1.223e-02	1.783e-02	1.588e-07	4.581e-12	1.828e-03
1.320e+04	1.520e-02	1.735e-03	1.940e-02	1.561e-02	1.223e-02	1.783e-02	1.588e-07	4.581e-12	8.747e-05
1.330e+04	1.520e-02	1.735e-03	1.940e-02	1.561e-02	1.223e-02	1.783e-02	1.588e-07	4.581e-12	8.747e-05
1.340e+04	1.520e-02	1.735e-03	1.940e-02	1.561e-02	1.223e-02	1.783e-02	6.111e-08	1.097e-13	8.747e-05
1.350e+04	1.520e-02	1.735e-03	1.940e-02	1.561e-02	1.223e-02	1.783e-02	6.111e-08	4.581e-12	8.747e-05
1.360e+04	1.520e-02	1.735e-03	1.940e-02	1.561e-02	1.223e-02	1.783e-02	6.111e-08	4.581e-12	8.747e-05
1.370e+04	1.520e-02	1.735e-03	1.940e-02	1.561e-02	1.223e-02	1.783e-02	6.111e-08	4.581e-12	8.747e-05
1.380e+04	1.520e-02	1.735e-03	1.940e-02	1.561e-02	1.223e-02	1.783e-02	6.111e-08	4.581e-12	1.346e-03
1.390e+04	1.520e-02	1.735e-03	1.940e-02	1.561e-02	1.223e-02	1.783e-02	6.111e-08	4.581e-12	1.346e-03
1.400e+04	1.520e-02	1.735e-03	1.940e-02	1.561e-02	1.223e-02	1.783e-02	6.111e-08	4.581e-12	1.346e-03
1.410e+04	1.520e-02	1.735e-03	1.940e-02	1.572e-02	1.262e-02	1.811e-02	6.111e-08	4.581e-12	1.346e-03
1.420e+04	1.520e-02	1.735e-03	1.940e-02	1.572e-02	1.262e-02	1.811e-02	6.111e-08	4.581e-12	1.346e-03
