n.evals.q.1.0.	2d.nav._.hebbian.network.best.quality.fitness	2d.nav._.hebbian.network.best.quality.fitness.min	2d.nav._.hebbian.network.best.quality.fitness.max	2d.nav._.hebbian.synapse.best.quality.fitness	2d.nav._.hebbian.synapse.best.quality.fitness.min	2d.nav._.hebbian.synapse.best.quality.fitness.max	2d.nav._.freeForm.best.quality.fitness	2d.nav._.freeForm.best.quality.fitness.min	2d.nav._.freeForm.best.quality.fitness.max
1.470e+04	1.192e+01	-1.633e+00	2.309e+01	4.869e+02	4.686e+02	5.037e+02	7.189e+01	-1.008e+00	2.084e+02
1.480e+04	1.192e+01	-1.633e+00	2.309e+01	4.869e+02	4.686e+02	5.055e+02	7.189e+01	-1.008e+00	2.084e+02
1.490e+04	1.192e+01	-1.633e+00	2.309e+01	4.869e+02	4.686e+02	5.055e+02	7.189e+01	-1.008e+00	2.084e+02
1.500e+04	1.192e+01	-1.633e+00	2.309e+01	4.869e+02	4.686e+02	5.055e+02	7.189e+01	-1.008e+00	2.103e+02
1.510e+04	1.192e+01	-1.633e+00	2.309e+01	4.869e+02	4.686e+02	5.055e+02	7.189e+01	-1.008e+00	2.221e+02
1.520e+04	1.192e+01	-1.633e+00	2.309e+01	4.869e+02	4.686e+02	5.055e+02	7.189e+01	-1.008e+00	2.221e+02
1.530e+04	1.192e+01	-1.633e+00	2.309e+01	4.869e+02	4.686e+02	5.056e+02	7.189e+01	-1.007e+00	2.221e+02
1.540e+04	1.192e+01	-1.633e+00	2.309e+01	4.869e+02	4.686e+02	5.056e+02	7.189e+01	-1.007e+00	2.221e+02
1.550e+04	1.192e+01	-1.633e+00	2.309e+01	4.869e+02	4.686e+02	5.066e+02	7.189e+01	-1.007e+00	2.766e+02
1.560e+04	1.192e+01	-1.633e+00	2.309e+01	4.869e+02	4.686e+02	5.066e+02	7.189e+01	-1.007e+00	2.766e+02
1.570e+04	1.192e+01	-1.633e+00	2.309e+01	4.899e+02	4.686e+02	5.066e+02	7.189e+01	-1.007e+00	2.766e+02
1.580e+04	1.192e+01	-1.633e+00	2.309e+01	4.899e+02	4.686e+02	5.066e+02	7.189e+01	-1.007e+00	2.766e+02
1.590e+04	1.192e+01	-1.633e+00	2.337e+01	4.899e+02	4.686e+02	5.066e+02	7.189e+01	-1.007e+00	2.766e+02
1.600e+04	1.220e+01	-1.633e+00	2.940e+01	4.899e+02	4.686e+02	5.066e+02	7.189e+01	-1.007e+00	2.766e+02
1.610e+04	1.220e+01	-1.633e+00	2.940e+01	4.899e+02	4.686e+02	5.066e+02	7.189e+01	-1.007e+00	2.766e+02
1.620e+04	1.220e+01	-1.633e+00	2.940e+01	4.899e+02	4.686e+02	5.066e+02	7.189e+01	-1.007e+00	2.766e+02
1.630e+04	1.220e+01	-1.633e+00	2.940e+01	4.899e+02	4.715e+02	5.066e+02	7.189e+01	-1.007e+00	2.766e+02
1.640e+04	1.220e+01	-1.633e+00	2.940e+01	4.899e+02	4.715e+02	5.066e+02	7.189e+01	-1.007e+00	2.766e+02
1.650e+04	1.220e+01	-1.633e+00	2.940e+01	4.899e+02	4.715e+02	5.066e+02	7.189e+01	-1.007e+00	2.766e+02
1.660e+04	1.220e+01	-1.633e+00	2.940e+01	4.899e+02	4.715e+02	5.066e+02	7.189e+01	-1.007e+00	2.766e+02
1.670e+04	1.220e+01	-1.633e+00	2.940e+01	4.899e+02	4.715e+02	5.066e+02	7.189e+01	-1.006e+00	2.766e+02
1.680e+04	1.220e+01	-1.633e+00	3.089e+01	4.899e+02	4.715e+02	5.066e+02	7.189e+01	-1.006e+00	2.766e+02
1.690e+04	1.220e+01	-1.633e+00	3.089e+01	4.899e+02	4.715e+02	5.066e+02	7.189e+01	-1.006e+00	2.766e+02
1.700e+04	1.220e+01	-1.633e+00	3.089e+01	4.899e+02	4.715e+02	5.066e+02	7.189e+01	-1.006e+00	2.766e+02
1.710e+04	1.220e+01	-1.633e+00	3.089e+01	4.899e+02	4.715e+02	5.066e+02	7.189e+01	-1.006e+00	2.766e+02
1.720e+04	1.220e+01	-1.633e+00	3.089e+01	4.899e+02	4.715e+02	5.066e+02	7.189e+01	-1.006e+00	2.766e+02
1.730e+04	1.220e+01	-1.633e+00	3.089e+01	4.904e+02	4.715e+02	5.066e+02	7.189e+01	-1.006e+00	2.766e+02
1.740e+04	1.220e+01	-1.633e+00	3.089e+01	4.904e+02	4.715e+02	5.066e+02	7.189e+01	-1.006e+00	2.766e+02
1.750e+04	1.220e+01	-1.633e+00	3.089e+01	4.904e+02	4.715e+02	5.075e+02	7.189e+01	-1.006e+00	2.766e+02
1.760e+04	1.220e+01	-1.633e+00	3.089e+01	4.904e+02	4.732e+02	5.075e+02	7.189e+01	-1.006e+00	2.766e+02
1.770e+04	1.596e+01	-1.633e+00	3.089e+01	4.904e+02	4.732e+02	5.075e+02	7.601e+01	1.568e+01	2.766e+02
1.780e+04	1.596e+01	-1.633e+00	3.089e+01	4.904e+02	4.732e+02	5.075e+02	7.601e+01	1.568e+01	2.766e+02
1.790e+04	1.648e+01	-1.416e+00	3.089e+01	4.904e+02	4.732e+02	5.075e+02	7.601e+01	1.568e+01	2.766e+02
1.800e+04	1.679e+01	-1.416e+00	3.089e+01	4.904e+02	4.732e+02	5.075e+02	7.601e+01	1.568e+01	2.766e+02
1.810e+04	1.679e+01	-1.416e+00	3.089e+01	4.907e+02	4.732e+02	5.075e+02	7.601e+01	1.568e+01	2.766e+02
1.820e+04	1.746e+01	-1.416e+00	3.119e+01	4.907e+02	4.732e+02	5.075e+02	7.601e+01	1.568e+01	2.766e+02
1.830e+04	1.746e+01	-1.416e+00	3.119e+01	4.907e+02	4.732e+02	5.075e+02	7.601e+01	1.568e+01	2.968e+02
1.840e+04	1.746e+01	-1.416e+00	3.119e+01	4.907e+02	4.732e+02	5.077e+02	7.601e+01	1.568e+01	2.968e+02
1.850e+04	1.746e+01	-1.416e+00	3.119e+01	4.907e+02	4.732e+02	5.077e+02	7.601e+01	1.568e+01	2.968e+02
1.860e+04	1.746e+01	-1.416e+00	3.119e+01	4.907e+02	4.732e+02	5.077e+02	7.601e+01	1.568e+01	2.968e+02
1.870e+04	1.746e+01	-1.416e+00	3.119e+01	4.907e+02	4.732e+02	5.077e+02	7.601e+01	1.568e+01	2.968e+02
1.880e+04	1.746e+01	-1.416e+00	3.119e+01	4.907e+02	4.732e+02	5.077e+02	7.601e+01	1.568e+01	2.968e+02
1.890e+04	1.746e+01	-1.416e+00	3.119e+01	4.907e+02	4.732e+02	5.077e+02	7.601e+01	1.568e+01	2.968e+02
1.900e+04	1.746e+01	-1.416e+00	3.119e+01	4.907e+02	4.732e+02	5.077e+02	7.601e+01	1.568e+01	2.968e+02
1.910e+04	1.746e+01	-1.416e+00	3.119e+01	4.907e+02	4.732e+02	5.086e+02	7.601e+01	1.568e+01	2.968e+02
1.920e+04	1.746e+01	-1.416e+00	3.119e+01	4.907e+02	4.732e+02	5.086e+02	7.601e+01	1.568e+01	2.968e+02
1.930e+04	1.746e+01	-1.416e+00	3.119e+01	4.907e+02	4.732e+02	5.086e+02	7.601e+01	1.568e+01	2.968e+02
1.940e+04	1.746e+01	-1.416e+00	3.119e+01	4.907e+02	4.732e+02	5.086e+02	7.601e+01	1.568e+01	2.968e+02
1.950e+04	1.746e+01	-1.416e+00	3.119e+01	4.907e+02	4.732e+02	5.086e+02	7.601e+01	1.568e+01	2.968e+02
1.960e+04	1.746e+01	-1.416e+00	3.119e+01	4.907e+02	4.732e+02	5.086e+02	7.601e+01	1.568e+01	2.968e+02
1.970e+04	1.746e+01	-1.416e+00	3.119e+01	4.907e+02	4.732e+02	5.086e+02	7.601e+01	1.568e+01	2.968e+02
1.980e+04	1.746e+01	-1.416e+00	3.119e+01	4.907e+02	4.732e+02	5.086e+02	7.601e+01	1.568e+01	2.968e+02
1.990e+04	1.746e+01	-1.416e+00	3.119e+01	4.907e+02	4.732e+02	5.086e+02	7.601e+01	1.568e+01	2.968e+02
