n.evals.q.1.0.	mopm._.me.hebbian.network.best.quality.increase	mopm._.me.hebbian.network.best.quality.increase.min	mopm._.me.hebbian.network.best.quality.increase.max	mopm._.me.hebbian.synapse.best.quality.increase	mopm._.me.hebbian.synapse.best.quality.increase.min	mopm._.me.hebbian.synapse.best.quality.increase.max	mopm._.me.freeForm.best.quality.increase	mopm._.me.freeForm.best.quality.increase.min	mopm._.me.freeForm.best.quality.increase.max
1.230e+04	2.831e-01	2.633e-01	2.964e-01	2.113e-01	1.693e-01	2.571e-01	8.133e-02	3.221e-02	3.391e-01
1.240e+04	2.831e-01	2.633e-01	2.964e-01	2.113e-01	1.693e-01	2.571e-01	8.133e-02	3.221e-02	3.391e-01
1.250e+04	2.831e-01	2.633e-01	2.964e-01	2.236e-01	1.693e-01	2.571e-01	8.133e-02	3.221e-02	3.391e-01
1.260e+04	2.831e-01	2.633e-01	2.964e-01	2.236e-01	1.693e-01	2.571e-01	8.133e-02	3.221e-02	3.391e-01
1.270e+04	2.831e-01	2.633e-01	2.964e-01	2.236e-01	1.693e-01	2.571e-01	8.133e-02	3.221e-02	3.391e-01
1.280e+04	2.831e-01	2.633e-01	2.939e-01	2.236e-01	1.693e-01	2.571e-01	8.133e-02	3.221e-02	3.391e-01
1.290e+04	2.831e-01	2.633e-01	2.939e-01	2.236e-01	1.693e-01	2.571e-01	8.133e-02	3.221e-02	3.391e-01
1.300e+04	2.831e-01	2.633e-01	2.939e-01	2.274e-01	1.693e-01	2.575e-01	8.133e-02	3.221e-02	3.391e-01
1.310e+04	2.831e-01	2.633e-01	2.939e-01	2.274e-01	1.693e-01	2.575e-01	8.133e-02	3.221e-02	3.391e-01
1.320e+04	2.831e-01	2.633e-01	2.939e-01	2.274e-01	1.693e-01	2.575e-01	8.133e-02	3.221e-02	3.391e-01
1.330e+04	2.831e-01	2.633e-01	2.939e-01	2.274e-01	1.693e-01	2.575e-01	8.133e-02	3.221e-02	3.391e-01
1.340e+04	2.831e-01	2.633e-01	2.939e-01	2.274e-01	1.713e-01	2.575e-01	8.949e-02	3.221e-02	3.391e-01
1.350e+04	2.831e-01	2.633e-01	2.939e-01	2.255e-01	1.713e-01	2.575e-01	8.949e-02	3.221e-02	3.391e-01
1.360e+04	2.831e-01	2.633e-01	2.939e-01	2.255e-01	1.785e-01	2.575e-01	8.949e-02	3.221e-02	3.391e-01
1.370e+04	2.769e-01	2.627e-01	2.937e-01	2.255e-01	1.792e-01	2.575e-01	8.949e-02	3.221e-02	2.775e-01
1.380e+04	2.769e-01	2.627e-01	2.937e-01	2.113e-01	1.792e-01	2.575e-01	8.949e-02	3.221e-02	2.889e-01
1.390e+04	2.831e-01	2.627e-01	2.937e-01	2.113e-01	1.792e-01	2.575e-01	8.949e-02	3.221e-02	2.889e-01
1.400e+04	2.831e-01	2.627e-01	2.937e-01	2.113e-01	1.792e-01	2.575e-01	9.043e-02	3.221e-02	3.452e-01
1.410e+04	2.831e-01	2.627e-01	2.937e-01	2.116e-01	1.792e-01	2.575e-01	9.043e-02	3.221e-02	3.452e-01
1.420e+04	2.831e-01	2.627e-01	2.937e-01	2.116e-01	1.792e-01	2.575e-01	9.043e-02	3.221e-02	3.452e-01
1.430e+04	2.831e-01	2.627e-01	2.937e-01	2.116e-01	1.792e-01	2.575e-01	9.043e-02	3.223e-02	3.452e-01
1.440e+04	2.831e-01	2.627e-01	2.937e-01	2.292e-01	1.785e-01	2.575e-01	9.043e-02	3.223e-02	2.882e-01
1.450e+04	2.831e-01	2.627e-01	2.937e-01	2.292e-01	1.785e-01	2.575e-01	9.043e-02	3.223e-02	2.882e-01
1.460e+04	2.831e-01	2.627e-01	2.937e-01	2.292e-01	1.785e-01	2.575e-01	9.043e-02	3.223e-02	2.775e-01
1.470e+04	2.831e-01	2.627e-01	2.937e-01	2.296e-01	1.794e-01	2.575e-01	9.043e-02	3.223e-02	2.775e-01
1.480e+04	2.850e-01	2.627e-01	2.939e-01	2.296e-01	1.794e-01	2.575e-01	9.043e-02	3.223e-02	2.775e-01
1.490e+04	2.868e-01	2.627e-01	2.939e-01	2.296e-01	1.794e-01	2.575e-01	9.043e-02	3.223e-02	2.775e-01
1.500e+04	2.868e-01	2.627e-01	2.939e-01	2.296e-01	1.794e-01	2.575e-01	9.043e-02	3.223e-02	2.775e-01
1.510e+04	2.868e-01	2.627e-01	2.939e-01	2.296e-01	1.794e-01	2.575e-01	8.949e-02	3.223e-02	2.775e-01
1.520e+04	2.868e-01	2.627e-01	2.939e-01	2.296e-01	1.936e-01	2.575e-01	8.949e-02	3.223e-02	3.104e-01
1.530e+04	2.868e-01	2.627e-01	2.939e-01	2.296e-01	1.794e-01	2.575e-01	8.949e-02	3.221e-02	2.882e-01
1.540e+04	2.868e-01	2.627e-01	2.939e-01	2.292e-01	1.713e-01	2.575e-01	8.949e-02	3.221e-02	2.882e-01
1.550e+04	2.868e-01	2.627e-01	2.939e-01	2.292e-01	1.713e-01	2.575e-01	8.133e-02	3.221e-02	2.882e-01
1.560e+04	2.868e-01	2.627e-01	2.939e-01	2.292e-01	1.713e-01	2.575e-01	8.250e-02	3.221e-02	2.882e-01
1.570e+04	2.868e-01	2.627e-01	2.939e-01	2.296e-01	1.713e-01	2.575e-01	8.250e-02	3.221e-02	2.882e-01
1.580e+04	2.868e-01	2.627e-01	2.939e-01	2.389e-01	1.713e-01	2.575e-01	8.250e-02	3.221e-02	2.882e-01
1.590e+04	2.868e-01	2.627e-01	2.939e-01	2.389e-01	1.713e-01	2.575e-01	8.250e-02	3.221e-02	2.882e-01
1.600e+04	2.868e-01	2.627e-01	2.939e-01	2.389e-01	1.713e-01	2.575e-01	8.250e-02	3.221e-02	2.882e-01
1.610e+04	2.868e-01	2.627e-01	2.939e-01	2.389e-01	1.713e-01	2.575e-01	8.949e-02	3.221e-02	2.882e-01
1.620e+04	2.868e-01	2.627e-01	2.939e-01	2.389e-01	1.713e-01	2.575e-01	8.949e-02	3.221e-02	2.882e-01
1.630e+04	2.868e-01	2.627e-01	2.939e-01	2.296e-01	1.713e-01	2.571e-01	8.949e-02	3.221e-02	2.882e-01
1.640e+04	2.868e-01	2.627e-01	2.939e-01	2.296e-01	1.713e-01	2.571e-01	8.949e-02	3.221e-02	2.882e-01
1.650e+04	2.868e-01	2.627e-01	2.939e-01	2.296e-01	1.713e-01	2.575e-01	8.949e-02	3.221e-02	2.882e-01
1.660e+04	2.868e-01	2.627e-01	2.939e-01	2.296e-01	1.713e-01	2.575e-01	8.949e-02	3.221e-02	2.882e-01
1.670e+04	2.868e-01	2.627e-01	2.939e-01	2.296e-01	1.713e-01	2.575e-01	8.949e-02	3.221e-02	2.882e-01
1.680e+04	2.868e-01	2.627e-01	2.939e-01	2.296e-01	1.693e-01	2.575e-01	9.043e-02	3.223e-02	3.104e-01
1.690e+04	2.868e-01	2.627e-01	2.939e-01	2.296e-01	1.693e-01	2.575e-01	9.043e-02	3.223e-02	3.104e-01
1.700e+04	2.868e-01	2.627e-01	2.939e-01	2.296e-01	1.693e-01	2.575e-01	8.949e-02	3.223e-02	3.104e-01
1.710e+04	2.868e-01	2.627e-01	2.939e-01	2.296e-01	1.693e-01	2.575e-01	8.949e-02	3.223e-02	3.104e-01
1.720e+04	2.850e-01	2.502e-01	2.937e-01	2.296e-01	1.693e-01	2.575e-01	8.949e-02	3.223e-02	3.560e-01
1.730e+04	2.850e-01	2.502e-01	2.937e-01	2.296e-01	1.693e-01	2.575e-01	8.949e-02	3.223e-02	3.104e-01
1.740e+04	2.850e-01	2.502e-01	2.937e-01	2.292e-01	1.693e-01	2.575e-01	8.949e-02	3.223e-02	3.104e-01
1.750e+04	2.850e-01	2.502e-01	2.937e-01	2.292e-01	1.693e-01	2.575e-01	8.949e-02	3.223e-02	3.104e-01
1.760e+04	2.850e-01	2.502e-01	2.937e-01	2.292e-01	1.693e-01	2.575e-01	9.043e-02	3.223e-02	3.560e-01
1.770e+04	2.850e-01	2.502e-01	2.937e-01	2.292e-01	1.693e-01	2.575e-01	9.043e-02	3.223e-02	3.560e-01
1.780e+04	2.850e-01	2.502e-01	2.937e-01	2.201e-01	1.693e-01	2.556e-01	9.043e-02	3.223e-02	3.560e-01
1.790e+04	2.850e-01	2.502e-01	2.937e-01	2.201e-01	1.693e-01	2.556e-01	9.043e-02	3.223e-02	3.560e-01
1.800e+04	2.850e-01	2.502e-01	2.937e-01	2.201e-01	1.693e-01	2.556e-01	9.043e-02	3.223e-02	3.560e-01
1.810e+04	2.850e-01	2.502e-01	2.937e-01	2.121e-01	1.677e-01	2.556e-01	1.087e-01	3.223e-02	4.566e-01
1.820e+04	2.850e-01	2.502e-01	2.937e-01	2.121e-01	1.677e-01	2.556e-01	1.087e-01	3.223e-02	4.566e-01
1.830e+04	2.850e-01	2.502e-01	2.937e-01	2.121e-01	1.677e-01	2.556e-01	1.087e-01	3.223e-02	4.566e-01
1.840e+04	2.850e-01	2.502e-01	2.937e-01	2.121e-01	1.677e-01	2.556e-01	1.087e-01	3.223e-02	4.566e-01
