problem.name;solver.name;randomGenerator.seed;numberOfInnerLayers→replace.all;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→final;best→quality→increase;best→quality→consistency
train;mlp;6;[8, 8, 8];14;2700;1400;1.65361e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.33036e+02;1.48805e+01;9.50214e+01
train;mlp;10;[8, 8, 8];15;2900;1500;1.66378e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;2.38603e+02;-1.01835e+02;1.00209e+02
train;mlp;2;[8, 8, 8];14;2700;1400;1.68269e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.29283e+02;-2.25573e+00;4.75247e+00
train;mlp;8;[8, 8, 8];14;2700;1400;1.68548e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.56663e+02;2.02961e+00;3.71164e+00
train;mlp;1;[8, 8, 8];15;2900;1500;1.69404e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.94596e+02;1.55156e+00;1.01315e+02
train;mlp;7;[8, 8, 8];15;2900;1500;1.73242e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.99168e+02;9.32078e+01;1.17108e-01
train;mlp;3;[8, 8, 8];15;2900;1500;1.75142e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.29762e+02;-4.27088e+01;5.31163e+01
train;mlp;5;[8, 8, 8];15;2900;1500;1.76669e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.72569e+02;1.23673e+02;3.84899e+01
train;mlp;9;[8, 8, 8];15;2900;1500;1.76869e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.23611e+02;-1.20928e+02;5.51755e+00
train;mlp;4;[8, 8, 8];15;2900;1500;1.77582e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.81529e+02;-9.56656e+01;8.29313e+01
train;mlp;6;[8, 8, 8];15;2900;1500;1.79121e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.54416e+02;-7.20545e-01;5.29354e+01
train;mlp;10;[8, 8, 8];16;3100;1600;1.80898e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;2.47374e+02;3.76554e+01;5.84564e+01
