n.evals.q.1.0.	train.8.8.8.mlp.best.quality.consistency	train.8.8.8.mlp.best.quality.consistency.min	train.8.8.8.mlp.best.quality.consistency.max	train.8.8.8.hebbian.synapse.random.best.quality.consistency	train.8.8.8.hebbian.synapse.random.best.quality.consistency.min	train.8.8.8.hebbian.synapse.random.best.quality.consistency.max	train.8.8.8.hebbian.network.random.best.quality.consistency	train.8.8.8.hebbian.network.random.best.quality.consistency.min	train.8.8.8.hebbian.network.random.best.quality.consistency.max	train.8.8.8.freeForm.random.best.quality.consistency	train.8.8.8.freeForm.random.best.quality.consistency.min	train.8.8.8.freeForm.random.best.quality.consistency.max
1.770e+04	1.469e+02	2.661e+01	1.773e+02	1.960e+02	1.264e+02	2.125e+02	1.091e+02	9.435e+01	1.265e+02	1.235e+02	2.036e+01	1.355e+02
1.790e+04	3.292e+01	6.780e+00	9.369e+01	1.268e+02	1.135e+02	1.367e+02	9.464e+01	8.739e+01	1.028e+02	1.000e+02	6.567e+01	1.380e+02
1.810e+04	2.526e+01	4.511e+00	9.876e+01	1.216e+02	3.127e+01	1.283e+02	1.031e+02	5.652e+01	1.133e+02	3.982e+01	5.508e+00	1.189e+02
1.830e+04	2.650e+01	1.160e+01	5.235e+01	2.373e+02	1.243e+02	2.605e+02	8.518e+01	3.900e+01	8.864e+01	7.674e+01	1.386e+01	1.356e+02
1.850e+04	1.103e+02	1.153e+01	1.220e+02	2.298e+02	1.422e+02	2.525e+02	9.117e+01	6.314e+01	1.085e+02	4.851e+01	5.500e+00	9.651e+01
1.870e+04	2.745e+01	5.744e+00	7.590e+01	2.288e+02	1.255e+02	2.340e+02	8.022e+01	5.738e+01	1.092e+02	6.724e+01	7.131e+00	1.346e+02
1.890e+04	7.350e+01	1.149e+01	1.088e+02	2.144e+02	1.039e+02	2.305e+02	8.354e+01	3.893e+01	1.090e+02	1.132e+01	1.492e+00	8.867e+01
1.910e+04	9.306e+01	1.773e+01	1.186e+02	1.413e+02	1.035e+02	1.750e+02	9.542e+01	6.162e+01	1.191e+02	2.740e+01	2.758e+00	1.264e+02
1.930e+04	9.725e+01	3.218e+01	1.324e+02	1.810e+02	1.233e+02	2.390e+02	9.602e+01	8.534e+01	1.061e+02	8.989e+00	9.198e-01	1.892e+01
1.950e+04	8.624e+01	1.100e+01	1.177e+02	1.290e+02	1.215e+02	1.817e+02	1.023e+02	6.143e+01	1.175e+02	8.400e+01	1.138e+01	1.375e+02
1.970e+04	9.902e+01	1.469e+01	1.072e+02	1.230e+02	-5.040e-01	1.288e+02	9.780e+01	5.754e+01	1.029e+02	6.709e+01	2.820e+01	1.035e+02
1.990e+04	1.185e+02	9.751e+00	2.033e+02	1.444e+02	1.112e+02	2.225e+02	9.524e+01	6.351e+01	1.077e+02	5.532e+01	1.000e+01	1.380e+02
2.010e+04	9.676e+01	8.000e+00	1.108e+02	1.651e+02	1.227e+02	2.163e+02	1.007e+02	5.712e+01	1.144e+02	1.120e+02	1.595e+01	1.380e+02
2.030e+04	8.173e+01	-3.739e+00	1.285e+02	1.368e+02	2.125e-01	2.163e+02	1.101e+02	4.861e+01	1.379e+02	5.321e+01	1.049e+01	1.380e+02
2.050e+04	1.091e+02	1.624e+01	1.428e+02	1.885e+02	1.293e+02	2.395e+02	8.805e+01	7.783e+01	9.193e+01	4.035e+01	8.232e+00	1.123e+02
2.070e+04	2.975e+01	1.252e+01	1.188e+02	1.310e+02	1.169e+02	2.218e+02	9.051e+01	5.409e+01	1.059e+02	4.215e+01	1.145e+01	1.072e+02
2.090e+04	7.774e+01	1.429e+01	1.240e+02	1.323e+02	1.215e+02	2.365e+02	7.862e+01	5.295e+01	8.378e+01	3.445e+01	4.006e+00	7.163e+01
2.110e+04	1.194e+02	1.026e+01	1.260e+02	1.249e+02	5.050e+01	2.328e+02	7.725e+01	6.747e+01	1.055e+02	5.146e+01	8.005e+00	1.319e+02
2.130e+04	1.125e+02	7.499e+00	1.222e+02	1.244e+02	5.054e+01	1.407e+02	8.436e+01	7.380e+01	1.004e+02	6.532e+01	3.496e+00	1.037e+02
2.150e+04	8.303e+01	8.248e+00	1.167e+02	1.241e+02	1.137e+02	2.293e+02	8.118e+01	4.598e+01	8.761e+01	2.615e+01	1.113e+01	1.332e+02
2.170e+04	1.652e+01	-2.508e+00	6.180e+01	1.258e+02	9.284e+01	1.275e+02	8.730e+01	5.562e+01	1.005e+02	8.936e+01	2.794e+01	1.189e+02
2.190e+04	1.205e+02	1.900e+01	1.317e+02	1.155e+02	4.999e+00	1.315e+02	8.440e+01	5.802e+01	1.147e+02	3.281e+01	8.212e+00	9.470e+01
2.210e+04	1.400e+01	2.498e+00	3.910e+01	2.415e+02	1.262e+02	2.752e+02	9.700e+01	6.868e+01	1.151e+02	9.451e+01	1.955e+01	1.346e+02
2.230e+04	1.055e+02	1.698e+01	1.484e+02	1.582e+02	9.775e+01	2.435e+02	1.054e+02	5.148e+01	1.248e+02	9.985e+01	1.145e+01	1.089e+02
2.250e+04	3.875e+01	4.990e-01	1.212e+02	2.301e+02	9.025e+01	2.463e+02	1.074e+02	8.487e+01	1.181e+02	7.805e+01	1.437e+01	1.104e+02
2.270e+04	1.123e+02	1.400e+01	1.168e+02	1.538e+02	1.143e+02	2.232e+02	8.995e+01	7.817e+01	9.862e+01	9.137e+01	1.948e+01	1.378e+02
2.290e+04	5.232e+01	9.243e+00	9.576e+01	1.425e+02	1.095e+02	2.283e+02	1.069e+02	4.854e+01	1.223e+02	8.109e+01	2.373e+01	1.366e+02
2.310e+04	7.500e+01	2.499e+00	1.153e+02	1.435e+02	9.300e+01	1.840e+02	9.066e+01	5.404e+01	1.168e+02	7.591e+01	7.499e+00	1.030e+02
2.330e+04	1.037e+02	5.017e+00	1.158e+02	1.510e+02	2.175e+01	2.358e+02	9.715e+01	8.850e+01	1.139e+02	5.369e+01	8.646e-01	1.027e+02
2.350e+04	5.976e+01	1.965e+00	7.998e+01	1.883e+02	1.001e+02	2.553e+02	1.123e+02	8.206e+01	1.364e+02	8.624e+01	1.136e+01	1.373e+02
2.370e+04	7.990e+01	1.379e+01	1.300e+02	1.920e+02	1.265e+02	2.298e+02	1.037e+02	8.376e+01	1.160e+02	3.454e+01	1.230e+01	6.510e+01
2.390e+04	4.675e+01	1.660e+01	1.343e+02	2.382e+02	-4.850e+00	2.540e+02	9.580e+01	6.226e+01	9.975e+01	2.465e+01	7.546e-01	7.177e+01
2.410e+04	1.075e+02	1.725e+01	1.221e+02	1.163e+02	2.526e+01	1.423e+02	8.853e+01	5.486e+01	1.166e+02	1.218e+02	2.103e+01	1.378e+02
2.430e+04	9.776e+01	-1.742e+00	1.200e+02	2.305e+02	1.245e+02	2.567e+02	9.726e+01	8.241e+01	1.187e+02	1.106e+02	4.200e+01	1.356e+02
2.450e+04	6.206e+01	3.749e+00	1.278e+02	2.203e+02	1.116e+01	2.600e+02	1.018e+02	2.611e+01	1.243e+02	9.777e+01	1.340e+01	1.379e+02
2.470e+04	7.750e+01	1.200e+01	1.012e+02	1.415e+02	1.275e+02	2.133e+02	7.622e+01	6.686e+01	8.934e+01	9.412e+01	4.998e+01	1.200e+02
2.490e+04	1.225e+01	-2.819e-01	8.094e+01	1.268e+02	1.625e+01	2.293e+02	7.589e+01	5.788e+01	1.143e+02	3.584e+01	8.001e+00	1.041e+02
2.510e+04	9.126e+01	1.650e+01	1.172e+02	1.270e+02	3.550e+01	1.565e+02	8.913e+01	7.964e+01	9.349e+01	6.365e+01	3.250e+01	1.371e+02
2.530e+04	1.700e+01	8.985e+00	4.083e+01	1.198e+02	6.074e+01	1.698e+02	1.059e+02	6.311e+01	1.156e+02	1.049e+02	1.616e+01	1.356e+02
2.550e+04	1.074e+01	-7.164e-01	2.080e+01	2.216e+02	1.466e+02	2.570e+02	6.958e+01	6.036e+01	8.209e+01	1.062e+02	4.986e-01	1.361e+02
2.570e+04	1.173e+02	1.125e+01	1.343e+02	1.358e+02	1.127e+02	2.174e+02	8.503e+01	5.708e+01	1.100e+02	9.435e+01	1.122e+01	1.376e+02
2.590e+04	6.837e+01	1.775e+01	1.150e+02	1.583e+02	1.185e+02	2.813e+02	7.394e+01	5.970e+01	8.054e+01	5.365e+01	2.248e+01	6.975e+01
2.610e+04	1.014e+02	5.825e+01	1.274e+02	1.188e+02	-2.476e-01	1.680e+02	8.667e+01	7.005e+01	1.212e+02	1.027e+02	4.841e+01	1.356e+02
2.630e+04	1.100e+02	1.716e+01	1.300e+02	3.315e+02	7.178e+01	3.428e+02	8.253e+01	4.175e+01	9.031e+01	1.044e+02	3.140e+01	1.379e+02
2.650e+04	1.033e+02	4.744e+00	1.308e+02	1.209e+02	5.451e+01	2.013e+02	8.618e+01	5.775e+01	1.135e+02	8.545e+01	6.999e+00	1.051e+02
2.670e+04	8.131e+01	1.843e+01	8.725e+01	1.788e+02	1.228e+02	2.265e+02	7.424e+01	4.099e+01	1.317e+02	1.029e+02	3.016e+01	1.382e+02
2.690e+04	5.825e+01	2.254e+01	1.198e+02	1.278e+02	7.994e+00	2.268e+02	9.657e+01	7.784e+01	1.037e+02	6.687e+01	1.487e+01	1.065e+02
