n.evals.q.1.0.	train.8.8.8.mlp.best.quality.final	train.8.8.8.mlp.best.quality.final.min	train.8.8.8.mlp.best.quality.final.max	train.8.8.8.hebbian.synapse.random.best.quality.final	train.8.8.8.hebbian.synapse.random.best.quality.final.min	train.8.8.8.hebbian.synapse.random.best.quality.final.max	train.8.8.8.hebbian.network.random.best.quality.final	train.8.8.8.hebbian.network.random.best.quality.final.min	train.8.8.8.hebbian.network.random.best.quality.final.max	train.8.8.8.freeForm.random.best.quality.final	train.8.8.8.freeForm.random.best.quality.final.min	train.8.8.8.freeForm.random.best.quality.final.max
1.350e+04	3.173e+02	2.630e+02	3.721e+02	2.525e+02	1.796e+02	2.583e+02	1.081e+02	1.013e+02	1.147e+02	6.252e+01	2.394e+01	1.341e+02
1.370e+04	3.020e+02	2.988e+02	3.568e+02	2.473e+02	2.143e+02	2.533e+02	1.185e+02	8.380e+01	1.296e+02	7.535e+01	2.101e+01	1.341e+02
1.390e+04	3.335e+02	2.930e+02	3.456e+02	2.385e+02	1.372e+02	2.594e+02	1.024e+02	8.976e+01	1.160e+02	6.941e+01	2.503e+01	1.342e+02
1.410e+04	2.986e+02	2.739e+02	3.722e+02	2.540e+02	1.296e+02	2.566e+02	1.195e+02	8.581e+01	1.295e+02	1.235e+02	2.750e+01	1.340e+02
1.430e+04	3.143e+02	2.868e+02	3.679e+02	2.570e+02	1.458e+02	2.576e+02	1.017e+02	9.289e+01	1.087e+02	1.230e+02	4.984e+01	1.315e+02
1.450e+04	3.348e+02	3.239e+02	3.539e+02	2.480e+02	1.403e+02	2.508e+02	1.080e+02	8.380e+01	1.108e+02	6.780e+01	2.343e+01	1.343e+02
1.470e+04	3.355e+02	2.550e+02	3.631e+02	2.522e+02	2.323e+02	2.693e+02	8.708e+01	6.628e+01	1.132e+02	1.225e+02	2.445e+01	1.348e+02
1.490e+04	3.493e+02	3.107e+02	3.548e+02	2.300e+02	1.816e+02	2.515e+02	8.927e+01	6.294e+01	1.169e+02	1.340e+02	4.509e+01	1.378e+02
1.510e+04	3.269e+02	2.803e+02	3.548e+02	2.580e+02	1.398e+02	2.640e+02	9.074e+01	7.564e+01	1.009e+02	1.195e+02	2.706e+01	1.354e+02
1.530e+04	3.473e+02	3.153e+02	3.648e+02	2.483e+02	1.740e+02	2.603e+02	1.022e+02	7.850e+01	1.079e+02	1.179e+02	3.497e+01	1.342e+02
1.550e+04	3.452e+02	2.566e+02	3.668e+02	2.498e+02	2.325e+02	2.690e+02	1.013e+02	8.977e+01	1.063e+02	1.120e+02	2.854e+01	1.343e+02
1.570e+04	3.376e+02	3.029e+02	3.513e+02	2.548e+02	2.364e+02	3.050e+02	1.011e+02	9.472e+01	1.050e+02	1.219e+02	3.452e+01	1.378e+02
