n.evals.q.1.0.	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
1.830e+04	5.000e-01	2.505e-01	5.000e-01	9.987e-01	9.621e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.850e+04	5.000e-01	2.505e-01	5.000e-01	1.000e+00	9.986e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.870e+04	5.000e-01	2.505e-01	5.000e-01	9.998e-01	9.842e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.890e+04	5.000e-01	2.505e-01	5.000e-01	9.999e-01	9.964e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.910e+04	5.000e-01	2.505e-01	5.000e-01	1.000e+00	9.978e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.930e+04	5.000e-01	2.505e-01	5.000e-01	9.999e-01	9.830e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.950e+04	5.000e-01	2.501e-01	5.000e-01	9.999e-01	9.822e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.970e+04	5.000e-01	2.501e-01	5.000e-01	1.000e+00	9.980e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.990e+04	5.000e-01	2.501e-01	5.000e-01	1.000e+00	9.988e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
2.010e+04	5.000e-01	2.501e-01	5.000e-01	9.999e-01	9.735e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
2.030e+04	5.000e-01	2.501e-01	5.000e-01	1.000e+00	9.997e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
2.050e+04	5.000e-01	2.501e-01	5.000e-01	1.000e+00	9.976e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
2.070e+04	5.000e-01	2.501e-01	5.000e-01	1.000e+00	9.909e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
2.090e+04	5.000e-01	2.501e-01	5.000e-01	9.999e-01	9.957e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
2.110e+04	5.000e-01	2.501e-01	5.000e-01	1.000e+00	9.990e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
2.130e+04	5.000e-01	2.501e-01	5.000e-01	9.997e-01	9.947e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
2.150e+04	5.000e-01	2.501e-01	5.000e-01	1.000e+00	9.993e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
2.170e+04	5.000e-01	2.501e-01	5.000e-01	1.000e+00	9.987e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
2.190e+04	5.000e-01	2.501e-01	5.000e-01	1.000e+00	9.999e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
2.210e+04	5.000e-01	2.501e-01	5.000e-01	1.000e+00	9.990e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
2.230e+04	5.000e-01	2.501e-01	5.000e-01	9.999e-01	9.925e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
2.250e+04	5.000e-01	2.501e-01	5.000e-01	1.000e+00	9.987e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
2.270e+04	5.000e-01	2.501e-01	5.000e-01	9.999e-01	9.905e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
2.290e+04	5.000e-01	2.501e-01	5.000e-01	1.000e+00	9.995e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
2.310e+04	5.000e-01	2.505e-01	5.000e-01	1.000e+00	9.992e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
2.330e+04	5.000e-01	2.505e-01	5.000e-01	1.000e+00	9.995e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
2.350e+04	5.000e-01	2.505e-01	5.000e-01	1.000e+00	9.994e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
2.370e+04	5.000e-01	2.501e-01	5.000e-01	1.000e+00	9.991e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
2.390e+04	5.000e-01	2.502e-01	5.000e-01	1.000e+00	9.997e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
2.410e+04	5.000e-01	2.502e-01	5.000e-01	1.000e+00	9.932e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
2.430e+04	5.000e-01	2.505e-01	5.000e-01	1.000e+00	9.993e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
2.450e+04	5.000e-01	2.505e-01	5.000e-01	1.000e+00	9.978e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
2.470e+04	5.000e-01	2.505e-01	5.000e-01	1.000e+00	9.987e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
2.490e+04	5.000e-01	2.505e-01	5.000e-01	1.000e+00	9.996e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
2.510e+04	5.000e-01	2.505e-01	5.000e-01	1.000e+00	9.992e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
