n.evals.q.1.0.	xor._.hebbian.network.best.quality.avgLastBoolScore	xor._.hebbian.network.best.quality.avgLastBoolScore.min	xor._.hebbian.network.best.quality.avgLastBoolScore.max	xor._.hebbian.synapse.best.quality.avgLastBoolScore	xor._.hebbian.synapse.best.quality.avgLastBoolScore.min	xor._.hebbian.synapse.best.quality.avgLastBoolScore.max	xor._.freeForm.best.quality.avgLastBoolScore	xor._.freeForm.best.quality.avgLastBoolScore.min	xor._.freeForm.best.quality.avgLastBoolScore.max
1.870e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
1.890e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
1.910e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
1.930e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
1.950e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
1.970e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
1.990e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
2.010e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
2.030e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
2.050e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
2.070e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
2.090e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
2.110e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
2.130e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
2.150e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
2.170e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
2.190e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
2.210e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
2.230e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
2.250e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
2.270e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
2.290e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
2.310e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
2.330e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
2.350e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
2.370e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
2.390e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
2.410e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
2.430e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
2.450e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
2.470e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
2.490e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
2.510e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
