n.evals.q.1.0.	2d.nav._.hebbian.network.best.quality.increase	2d.nav._.hebbian.network.best.quality.increase.min	2d.nav._.hebbian.network.best.quality.increase.max	2d.nav._.hebbian.synapse.best.quality.increase	2d.nav._.hebbian.synapse.best.quality.increase.min	2d.nav._.hebbian.synapse.best.quality.increase.max	2d.nav._.freeForm.best.quality.increase	2d.nav._.freeForm.best.quality.increase.min	2d.nav._.freeForm.best.quality.increase.max
9.100e+03	1.275e+01	1.558e+00	2.102e+01	4.721e+02	3.758e+02	4.975e+02	1.569e+01	5.137e-08	8.461e+01
9.200e+03	1.275e+01	1.558e+00	2.102e+01	4.721e+02	3.758e+02	4.975e+02	3.027e+01	5.137e-08	8.461e+01
9.300e+03	1.275e+01	1.558e+00	2.102e+01	4.721e+02	3.758e+02	4.975e+02	1.569e+01	5.137e-08	8.461e+01
9.400e+03	1.275e+01	1.558e+00	2.102e+01	4.751e+02	3.758e+02	4.975e+02	1.569e+01	0.000e+00	8.461e+01
9.500e+03	1.275e+01	1.558e+00	2.102e+01	4.751e+02	3.758e+02	4.936e+02	2.717e+01	2.731e-06	8.461e+01
9.600e+03	1.275e+01	1.558e+00	2.102e+01	4.751e+02	3.758e+02	4.936e+02	3.027e+01	2.626e-03	8.461e+01
9.700e+03	1.275e+01	1.558e+00	2.102e+01	4.751e+02	3.877e+02	4.936e+02	2.717e+01	5.137e-08	8.461e+01
9.800e+03	1.275e+01	1.558e+00	2.102e+01	4.716e+02	3.758e+02	4.936e+02	2.717e+01	5.137e-08	8.461e+01
9.900e+03	1.275e+01	1.558e+00	2.102e+01	4.710e+02	3.758e+02	4.875e+02	2.717e+01	2.812e-07	8.461e+01
1.000e+04	1.275e+01	1.558e+00	2.102e+01	4.710e+02	3.758e+02	4.875e+02	2.717e+01	5.137e-08	8.461e+01
1.010e+04	1.275e+01	1.558e+00	2.102e+01	4.721e+02	3.864e+02	4.936e+02	2.299e+01	2.626e-03	8.461e+01
1.020e+04	1.275e+01	1.558e+00	2.102e+01	4.639e+02	3.864e+02	4.936e+02	3.027e+01	2.626e-03	8.461e+01
1.030e+04	1.275e+01	1.558e+00	2.102e+01	4.721e+02	3.864e+02	4.936e+02	2.717e+01	5.137e-08	8.461e+01
1.040e+04	1.275e+01	1.558e+00	2.102e+01	4.721e+02	3.864e+02	4.936e+02	2.717e+01	2.020e-06	8.461e+01
1.050e+04	1.275e+01	1.558e+00	2.102e+01	4.721e+02	3.864e+02	4.936e+02	2.080e+01	2.676e-06	8.461e+01
1.060e+04	1.275e+01	1.558e+00	2.102e+01	4.751e+02	3.864e+02	4.975e+02	2.717e+01	2.626e-03	8.461e+01
1.070e+04	1.275e+01	1.558e+00	2.102e+01	4.751e+02	3.864e+02	4.975e+02	2.717e+01	5.137e-08	8.461e+01
1.080e+04	1.275e+01	1.558e+00	2.102e+01	4.751e+02	3.864e+02	4.975e+02	3.258e+01	3.761e-06	8.461e+01
1.090e+04	1.275e+01	1.558e+00	2.102e+01	4.753e+02	3.894e+02	4.975e+02	3.825e+01	2.626e-03	8.461e+01
1.100e+04	1.275e+01	1.558e+00	2.102e+01	4.753e+02	3.894e+02	4.975e+02	3.825e+01	2.626e-03	8.461e+01
1.110e+04	1.275e+01	1.558e+00	2.102e+01	4.753e+02	3.894e+02	4.975e+02	3.258e+01	6.512e-07	8.461e+01
1.120e+04	1.275e+01	1.558e+00	2.102e+01	4.753e+02	3.894e+02	4.975e+02	3.258e+01	8.315e-07	8.461e+01
1.130e+04	1.275e+01	1.558e+00	2.102e+01	4.753e+02	3.894e+02	4.984e+02	2.717e+01	2.626e-03	8.461e+01
1.140e+04	1.321e+01	1.558e+00	2.131e+01	4.753e+02	3.897e+02	4.966e+02	2.717e+01	1.141e-06	8.461e+01
1.150e+04	1.321e+01	1.558e+00	2.131e+01	4.756e+02	3.897e+02	4.966e+02	2.717e+01	5.137e-08	8.461e+01
1.160e+04	1.321e+01	1.558e+00	2.131e+01	4.756e+02	3.949e+02	4.966e+02	3.258e+01	2.626e-03	8.461e+01
1.170e+04	1.523e+01	1.558e+00	2.169e+01	4.756e+02	3.949e+02	4.966e+02	2.717e+01	5.137e-08	8.461e+01
1.180e+04	1.523e+01	1.558e+00	2.233e+01	4.756e+02	3.949e+02	4.966e+02	3.258e+01	2.626e-03	8.461e+01
1.190e+04	1.523e+01	1.558e+00	2.233e+01	4.756e+02	3.949e+02	4.984e+02	2.717e+01	5.137e-08	8.461e+01
1.200e+04	1.523e+01	1.558e+00	2.233e+01	4.753e+02	3.949e+02	4.984e+02	3.258e+01	4.559e-03	1.119e+02
1.210e+04	1.523e+01	1.558e+00	2.233e+01	4.753e+02	3.949e+02	4.936e+02	3.757e+01	4.559e-03	1.119e+02
1.220e+04	1.523e+01	1.558e+00	2.233e+01	4.747e+02	3.949e+02	4.936e+02	3.258e+01	3.006e-06	1.119e+02
1.230e+04	1.639e+01	1.558e+00	2.316e+01	4.753e+02	4.164e+02	5.029e+02	3.258e+01	5.137e-08	1.119e+02
1.240e+04	1.639e+01	1.558e+00	2.316e+01	4.753e+02	4.164e+02	5.029e+02	3.577e+01	4.776e-07	1.119e+02
1.250e+04	1.639e+01	1.558e+00	2.316e+01	4.776e+02	4.164e+02	5.029e+02	4.186e+01	8.608e-04	1.119e+02
1.260e+04	1.639e+01	1.558e+00	2.316e+01	4.776e+02	4.164e+02	5.029e+02	3.702e+01	8.608e-04	1.119e+02
1.270e+04	1.661e+01	1.558e+00	2.651e+01	4.792e+02	4.261e+02	5.025e+02	5.152e+01	4.559e-03	1.048e+02
1.280e+04	1.661e+01	1.558e+00	2.651e+01	4.792e+02	4.261e+02	5.025e+02	4.186e+01	8.608e-04	1.119e+02
1.290e+04	1.661e+01	1.558e+00	2.651e+01	4.792e+02	4.261e+02	5.029e+02	4.186e+01	2.183e-06	1.119e+02
1.300e+04	1.661e+01	1.558e+00	2.651e+01	4.807e+02	4.580e+02	5.029e+02	3.577e+01	5.137e-08	1.119e+02
1.310e+04	1.661e+01	1.558e+00	2.651e+01	4.807e+02	4.580e+02	5.029e+02	3.796e+01	6.846e-06	1.119e+02
1.320e+04	1.661e+01	1.558e+00	2.651e+01	4.807e+02	4.580e+02	5.080e+02	3.774e+01	1.070e-05	1.119e+02
1.330e+04	1.661e+01	1.558e+00	2.651e+01	4.807e+02	4.468e+02	5.080e+02	3.784e+01	5.137e-08	1.119e+02
1.340e+04	1.953e+01	1.558e+00	2.686e+01	4.807e+02	4.580e+02	5.080e+02	4.186e+01	7.536e-06	1.119e+02
1.350e+04	1.953e+01	1.558e+00	2.686e+01	4.807e+02	4.468e+02	5.080e+02	4.663e+01	5.137e-08	1.119e+02
1.360e+04	1.953e+01	1.558e+00	2.686e+01	4.807e+02	4.580e+02	5.080e+02	5.481e+01	8.608e-04	1.047e+02
1.370e+04	1.953e+01	1.558e+00	2.686e+01	4.792e+02	4.580e+02	5.080e+02	5.916e+01	5.137e-08	1.119e+02
1.380e+04	1.953e+01	1.558e+00	2.686e+01	4.792e+02	4.580e+02	5.080e+02	4.186e+01	6.962e-06	1.048e+02
1.390e+04	1.953e+01	1.558e+00	2.686e+01	4.792e+02	4.580e+02	5.080e+02	6.825e+01	8.608e-04	1.151e+02
